Columna,Mediana_1,Mediana_2,Median,Media1,Media2,Moda_1,Moda_2,Percentil_25_1,Percentil_25_2,Percentil_75_1,Percentil_75_2,Rango_1,Rango_2,Intercuartil_1,Intercuartil_2,DesviacionMedia_1,DesviacionMedia_2,Varianza_1,Varianza_2,DesviacionEstandar_1,DesviacionEstandar_2,CoeficienteVariacion_1,CoeficienteVariacion_2
tiempo_maximo,8.0,6.0,8.0,8.88702147525677,8.043054427294882,4.0,4.0,4.0,3.0,12.0,11.0,36.0,47.0,8.0,8.0,4.470588235294118,4.631194151096669,31.0685323350524,42.899770825490535,5.573915350546005,6.549791662754666,0.6271972410626993,0.8143413328806176
intensidad_maxima,6.75,10.545454545454543,6.75,15.622176222569776,17.56023925199936,6.0,5.0,6.090909090909091,6.196153846153846,21.98913043478261,24.27922077922078,84.99547511312218,121.6,15.89822134387352,18.08306693306693,9.737951742549654,11.348849823418274,195.9135319313695,251.95862122326986,13.996911514022282,15.873204503920116,0.8959642571308708,0.9039287151006691
intensidad_minima,5.9444444444444455,6.8641975308642,5.9444444444444455,12.488130325550257,13.602207946936034,5.666666666666668,5.5,5.589572192513369,5.407670454545455,17.60952380952381,19.22727272727273,62.31400966183574,96.47499999999998,12.019951617010442,13.819602272727275,7.1904750922403,8.389769901053047,116.86136992364601,148.3240120000074,10.810243749501952,12.178834591208117,0.8656414905748212,0.8953571830925774
tiempo_valle,10.0,8.0,10.0,10.50046685340803,9.724614134849716,7.0,6.0,7.0,5.0,14.0,12.0,40.0,50.0,7.0,7.0,4.433239962651728,4.691307879772543,32.0053736136199,44.76719039976752,5.65732919438315,6.690828827564454,0.5387693017236665,0.6880302636982577
intensidad_valle,6.099999999999999,8.115384615384615,6.099999999999999,13.284357405013123,14.600923826472604,6.0,6.0,5.666666666666668,5.5,18.88888888888889,20.240384615384613,63.949392712550605,96.55555555555557,13.222222222222221,14.740384615384613,7.910217934738192,9.190819712417188,126.95481366913164,166.4348940577084,11.26742267198367,12.900964849874926,0.8481722019712958,0.8835718207422245
sparks_amplitud,0.1309523809523809,0.1747572815533979,0.1309523809523809,0.25598967410784323,0.35795682372878457,0.0909090909090909,0.3333333333333333,0.0851063829787234,0.1041666666666666,0.22388138399401,0.3033008658008658,5.738523573200992,16.170327304048236,0.13877500101528661,0.1991341991341992,0.17417324551325591,0.25519208394484777,0.268705893899931,0.9861094942588603,0.518368492387347,0.9930304598847209,2.0249586011386103,2.774162675655868
TTP,3.0,3.0,3.0,4.632119514472456,4.344435418359057,1.0,1.0,1.0,1.0,7.0,6.0,26.0,42.0,6.0,5.0,3.0868347338935576,2.949634443541836,16.83276176514219,21.061755595622568,4.102774885993892,4.589308836374228,0.8857230201369598,1.0563648424788097
sparks_tiempo_pico50,6.073386919765568,4.764835811914064,6.073386919765568,8.698283200268083,6.690742798089345,2.5096923504001767,0.5159683032117941,3.132761891786777,2.5127483180740504,9.600566371543733,8.357854764161797,784.9866034284322,193.2857037497341,6.467804479756956,5.845106446087746,5.4918297251539405,4.221697869795729,942.8054996642576,72.90859247470827,30.705138001061933,8.53865284893983,3.530022798075325,1.2761890729648413
TTP50,1.6366430598149455,1.3281486895519756,1.6366430598149455,4.44338123948377,2.99212378915352,0.5096923504001771,0.514431090343372,0.5196736792328787,0.5255932562346648,3.6349024227859594,3.128823553476092,783.3779172626656,192.72548645620085,3.1152287435530805,2.6032302972414274,3.679045084343531,2.2972525198434686,936.9300330234905,54.019469578546904,30.609312847946956,7.349793845989621,6.8887433236548326,2.4563802716427374
fullWidth,6.0,5.0,6.0,6.745098039215686,7.148659626320065,2.0,2.0,3.0,3.0,10.0,9.0,68.0,281.0,7.0,6.0,4.50046685340803,5.5962632006498785,43.38636613523914,157.45186608811662,6.58683278482452,12.547982550518494,0.9765362558896817,1.7552916499645759
(ΔF/F0)/ΔTmax,0.0496894409937886,0.0687022900763357,0.0496894409937886,0.07267722232768505,0.10888975646282276,0.021505376344086,0.0833333333333333,0.02400553213909375,0.03272380317178,0.09481367652708395,0.13426684662103527,0.732461087299797,1.029162939773405,0.0708081443879902,0.10154304344925527,0.04819182629422998,0.07526955843828942,0.0058914137356742965,0.016127180313282575,0.07675554530895014,0.12699283567698838,1.056115559327197,1.166251443682367
fullDuration,6.0,5.0,6.0,6.245564892623716,6.025995125913891,2.0,2.0,3.0,3.0,9.0,8.0,52.0,67.0,6.0,5.0,3.8832866479925303,3.705117790414297,28.25833311517754,29.287128582090048,5.315856762101245,5.411758363239257,0.8511410662595954,0.8980688251749158
width,15.0,12.0,15.0,15.440709617180206,14.151909017059301,14.0,10.0,12.0,9.0,18.0,17.0,35.0,49.0,6.0,8.0,3.701213818860878,4.826157595450853,23.45606080438406,47.4264983852113,4.843145755021633,6.886689944030536,0.3136608274552923,0.486626216698329
high,16.0,14.0,16.0,17.559290382819796,19.084484159220146,13.0,10.0,12.0,10.0,20.0,20.0,89.0,261.0,8.0,10.0,5.3874883286648,8.896019496344435,68.36634117821582,404.3814745101147,8.268394111205382,20.1092385363075,0.47088429719775404,1.053695681189909
